BF,BF.INFO,Returns information about a Bloom Filter,https://redis.io/commands/bf.info/,O(1),Redis Stack /            Bloom 1.0.0,null,BF.INFO key [CAPACITY | SIZE | FILTERS | ITEMS | EXPANSION],null
BF,BF.RESERVE,Creates a new Bloom Filter,https://redis.io/commands/bf.reserve/,O(1),Redis Stack /            Bloom 1.0.0,null,"BF.RESERVE key error_rate capacity [EXPANSION expansion]
  [NONSCALING]",null
BF,BF.INSERT,Adds one or more items to a Bloom Filter. A filter will be created if it does not exist,https://redis.io/commands/bf.insert/,"O(k * n), where k is the number of hash functions and n is the number of items",Redis Stack /            Bloom 1.0.0,null,"BF.INSERT key [CAPACITY capacity] [ERROR error]
  [EXPANSION expansion] [NOCREATE] [NONSCALING] ITEMS item [item
  ...]",null
BF,BF.MADD,Adds one or more items to a Bloom Filter. A filter will be created if it does not exist,https://redis.io/commands/bf.madd/,"O(k * n), where k is the number of hash functions and n is the number of items",Redis Stack /            Bloom 1.0.0,null,BF.MADD key item [item ...],null
BF,BF.MEXISTS,Checks whether one or more items exist in a Bloom Filter,https://redis.io/commands/bf.mexists/,"O(k * n), where k is the number of hash functions and n is the number of items",Redis Stack /            Bloom 1.0.0,null,BF.MEXISTS key item [item ...],null
BF,BF.ADD,Adds an item to a Bloom Filter,https://redis.io/commands/bf.add/,"O(k), where k is the number of hash functions used by the last sub-filter",Redis Stack /            Bloom 1.0.0,null,BF.ADD key item,null
BF,BF.EXISTS,Checks whether an item exists in a Bloom Filter,https://redis.io/commands/bf.exists/,"O(k), where k is the number of hash functions used by the last sub-filter",Redis Stack /            Bloom 1.0.0,null,BF.EXISTS key item,null
BF,BF.LOADCHUNK,Restores a filter previously saved using SCANDUMP,https://redis.io/commands/bf.loadchunk/,"O(n), where n is the capacity",Redis Stack /            Bloom 1.0.0,null,BF.LOADCHUNK key iterator data,null
BF,BF.SCANDUMP,Begins an incremental save of the bloom filter,https://redis.io/commands/bf.scandump/,"O(n), where n is the capacity",Redis Stack /            Bloom 1.0.0,null,BF.SCANDUMP key iterator,null
BITMAP,GETBIT,Returns the bit value at offset in the string value stored at key,https://redis.io/commands/getbit/,O(1),2.2.0,"[@read, @bitmap, @fast]",GETBIT key offset,"[""SETBIT mykey 7 1"",""GETBIT mykey 0"",""GETBIT mykey 7"",""GETBIT mykey 100""]"
BITMAP,SETBIT,Sets or clears the bit at offset in the string value stored at key,https://redis.io/commands/setbit/,O(1),2.2.0,"[@write, @bitmap, @slow]",SETBIT key offset value,"[""SETBIT mykey 7 1"",""SETBIT mykey 7 0"",""GET mykey""]"
BITMAP,BITFIELD,Perform arbitrary bitfield integer operations on strings,https://redis.io/commands/bitfield/,O(1) for each subcommand specified,3.2.0,"[@write, @bitmap, @slow]","BITFIELD key <GET encoding offset | [OVERFLOW <WRAP | SAT | FAIL>]
  <SET encoding offset value | INCRBY encoding offset increment>
  [GET encoding offset | [OVERFLOW <WRAP | SAT | FAIL>]
  <SET encoding offset value | INCRBY encoding offset increment>
  ...]>",null
BITMAP,BITFIELD_RO,Perform arbitrary bitfield integer operations on strings. Read-only variant of BITFIELD,https://redis.io/commands/bitfield_ro/,O(1) for each subcommand specified,6.0.0,"[@read, @bitmap, @fast]",BITFIELD_RO key GET encoding offset [GET encoding offset ...],null
BITMAP,BITCOUNT,Count set bits in a string,https://redis.io/commands/bitcount/,O(N),2.6.0,"[@read, @bitmap, @slow]",BITCOUNT key [start end [BYTE | BIT]],"[""SET mykey \""foobar\"""",""BITCOUNT mykey"",""BITCOUNT mykey 0 0"",""BITCOUNT mykey 1 1"",""BITCOUNT mykey 1 1 BYTE"",""BITCOUNT mykey 5 30 BIT""]"
BITMAP,BITOP,Perform bitwise operations between strings,https://redis.io/commands/bitop/,O(N),2.6.0,"[@write, @bitmap, @slow]",BITOP operation destkey key [key ...],"[""SET key1 \""foobar\"""",""SET key2 \""abcdef\"""",""BITOP AND dest key1 key2"",""GET dest""]"
BITMAP,BITPOS,Find first bit set or clear in a string,https://redis.io/commands/bitpos/,O(N),2.8.7,"[@read, @bitmap, @slow]",BITPOS key bit [start [end [BYTE | BIT]]],"[""SET mykey \""\\xff\\xf0\\x00\"""",""BITPOS mykey 0"",""SET mykey \""\\x00\\xff\\xf0\"""",""BITPOS mykey 1 0"",""BITPOS mykey 1 2"",""BITPOS mykey 1 2 -1 BYTE"",""BITPOS mykey 1 7 15 BIT"",""set mykey \""\\x00\\x00\\x00\"""",""BITPOS mykey 1"",""BITPOS mykey 1 7 -3 BIT""]"
CF,CF.INFO,Returns information about a Cuckoo Filter,https://redis.io/commands/cf.info/,O(1),Redis Stack /            Bloom 1.0.0,null,CF.INFO key,null
CF,CF.RESERVE,Creates a new Cuckoo Filter,https://redis.io/commands/cf.reserve/,O(1),Redis Stack /            Bloom 1.0.0,null,"CF.RESERVE key capacity [BUCKETSIZE bucketsize]
  [MAXITERATIONS maxiterations] [EXPANSION expansion]",null
CF,CF.MEXISTS,Checks whether one or more items exist in a Cuckoo Filter,https://redis.io/commands/cf.mexists/,"O(k * n), where k is the number of sub-filters and n is the number of items",Redis Stack /            Bloom 1.0.0,null,CF.MEXISTS key item [item ...],null
CF,CF.ADD,Adds an item to a Cuckoo Filter,https://redis.io/commands/cf.add/,"O(k + i), where k is the number of sub-filters and i is maxIterations",Redis Stack /            Bloom 1.0.0,null,CF.ADD key item,null
CF,CF.ADDNX,Adds an item to a Cuckoo Filter if the item did not exist previously.,https://redis.io/commands/cf.addnx/,"O(k + i), where k is the number of sub-filters and i is maxIterations",Redis Stack /            Bloom 1.0.0,null,CF.ADDNX key item,null
CF,CF.COUNT,Return the number of times an item might be in a Cuckoo Filter,https://redis.io/commands/cf.count/,"O(k), where k is the number of sub-filters",Redis Stack /            Bloom 1.0.0,null,CF.COUNT key item,null
CF,CF.DEL,Deletes an item from a Cuckoo Filter,https://redis.io/commands/cf.del/,"O(k), where k is the number of sub-filters",Redis Stack /            Bloom 1.0.0,null,CF.DEL key item,null
CF,CF.EXISTS,Checks whether one or more items exist in a Cuckoo Filter,https://redis.io/commands/cf.exists/,"O(k), where k is the number of sub-filters",Redis Stack /            Bloom 1.0.0,null,CF.EXISTS key item,null
CF,CF.INSERT,Adds one or more items to a Cuckoo Filter. A filter will be created if it does not exist,https://redis.io/commands/cf.insert/,"O(n * (k + i)), where n is the number of items, k is the number of sub-filters and i is maxIterations",Redis Stack /            Bloom 1.0.0,null,CF.INSERT key [CAPACITY capacity] [NOCREATE] ITEMS item [item ...],null
CF,CF.INSERTNX,Adds one or more items to a Cuckoo Filter if the items did not exist previously. A filter will be created if it does not exist,https://redis.io/commands/cf.insertnx/,"O(n * (k + i)), where n is the number of items, k is the number of sub-filters and i is maxIterations",Redis Stack /            Bloom 1.0.0,null,CF.INSERTNX key [CAPACITY capacity] [NOCREATE] ITEMS item [item ...],null
CF,CF.LOADCHUNK,Restores a filter previously saved using SCANDUMP,https://redis.io/commands/cf.loadchunk/,"O(n), where n is the capacity",Redis Stack /            Bloom 1.0.0,null,CF.LOADCHUNK key iterator data,null
CF,CF.SCANDUMP,Begins an incremental save of the bloom filter,https://redis.io/commands/cf.scandump/,"O(n), where n is the capacity",Redis Stack /            Bloom 1.0.0,null,CF.SCANDUMP key iterator,null
CLUSTER,ASKING,Sent by cluster clients after an -ASK redirect,https://redis.io/commands/asking/,O(1),3.0.0,"[@fast, @connection]",ASKING,null
CLUSTER,CLUSTER BUMPEPOCH,Advance the cluster config epoch,https://redis.io/commands/cluster-bumpepoch/,O(1),3.0.0,"[@admin, @slow, @dangerous]",CLUSTER BUMPEPOCH,null
CLUSTER,CLUSTER COUNTKEYSINSLOT,Return the number of local keys in the specified hash slot,https://redis.io/commands/cluster-countkeysinslot/,O(1),3.0.0,[@slow],CLUSTER COUNTKEYSINSLOT slot,null
CLUSTER,CLUSTER FAILOVER,Forces a replica to perform a manual failover of its master.,https://redis.io/commands/cluster-failover/,O(1),3.0.0,"[@admin, @slow, @dangerous]",CLUSTER FAILOVER [FORCE | TAKEOVER],null
CLUSTER,CLUSTER FLUSHSLOTS,Delete a node's own slots information,https://redis.io/commands/cluster-flushslots/,O(1),3.0.0,"[@admin, @slow, @dangerous]",CLUSTER FLUSHSLOTS,null
